"Art","","","Overall"
"Art","2D Art","11 to 12 Years","1st"
"Art","2D Art","11 to 12 Years","2nd"
"Art","2D Art","11 to 12 Years","3rd"
"Art","2D Art","13 Years and Over","1st"
"Art","2D Art","13 Years and Over","2nd"
"Art","2D Art","13 Years and Over","3rd"
"Art","2D Art","3 to 4 Years","1st"
"Art","2D Art","3 to 4 Years","2nd"
"Art","2D Art","3 to 4 Years","3rd"
"Art","2D Art","5 to 6 Years","1st"
"Art","2D Art","5 to 6 Years","2nd"
"Art","2D Art","5 to 6 Years","3rd"
"Art","2D Art","7 to 8 Years","1st"
"Art","2D Art","7 to 8 Years","2nd"
"Art","2D Art","7 to 8 Years","3rd"
"Art","2D Art","9 to 10 Years","1st"
"Art","2D Art","9 to 10 Years","2nd"
"Art","2D Art","9 to 10 Years","3rd"
"Art","3D Art","11 to 12 Years","1st"
"Art","3D Art","11 to 12 Years","2nd"
"Art","3D Art","11 to 12 Years","3rd"
"Art","3D Art","13 Years and Over","1st"
"Art","3D Art","13 Years and Over","2nd"
"Art","3D Art","13 Years and Over","3rd"
"Art","3D Art","3 to 4 Years","1st"
"Art","3D Art","3 to 4 Years","2nd"
"Art","3D Art","3 to 4 Years","3rd"
"Art","3D Art","5 to 6 Years","1st"
"Art","3D Art","5 to 6 Years","2nd"
"Art","3D Art","5 to 6 Years","3rd"
"Art","3D Art","7 to 8 Years","1st"
"Art","3D Art","7 to 8 Years","2nd"
"Art","3D Art","7 to 8 Years","3rd"
"Art","3D Art","9 to 10 Years","1st"
"Art","3D Art","9 to 10 Years","2nd"
"Art","3D Art","9 to 10 Years","3rd"
"Art","Recycled Creation Art","11 to 12 Years","1st"
"Art","Recycled Creation Art","11 to 12 Years","2nd"
"Art","Recycled Creation Art","11 to 12 Years","3rd"
"Art","Recycled Creation Art","13 Years and Over","1st"
"Art","Recycled Creation Art","13 Years and Over","2nd"
"Art","Recycled Creation Art","13 Years and Over","3rd"
"Art","Recycled Creation Art","3 to 4 Years","1st"
"Art","Recycled Creation Art","3 to 4 Years","2nd"
"Art","Recycled Creation Art","3 to 4 Years","3rd"
"Art","Recycled Creation Art","5 to 6 Years","1st"
"Art","Recycled Creation Art","5 to 6 Years","2nd"
"Art","Recycled Creation Art","5 to 6 Years","3rd"
"Art","Recycled Creation Art","7 to 8 Years","1st"
"Art","Recycled Creation Art","7 to 8 Years","2nd"
"Art","Recycled Creation Art","7 to 8 Years","3rd"
"Art","Recycled Creation Art","9 to 10 Years","1st"
"Art","Recycled Creation Art","9 to 10 Years","2nd"
"Art","Recycled Creation Art","9 to 10 Years","3rd"
"Baking","","","Overall"
"Baking","Biscuit Creation","5 to 6 Years","1st"
"Baking","Biscuit Creation","5 to 6 Years","2nd"
"Baking","Biscuit Creation","5 to 6 Years","3rd"
"Baking","Cooked Slice","9 to 10 Years","1st"
"Baking","Cooked Slice","9 to 10 Years","2nd"
"Baking","Cooked Slice","9 to 10 Years","3rd"
"Baking","Muffins","7 to 8 Years","1st"
"Baking","Muffins","7 to 8 Years","2nd"
"Baking","Muffins","7 to 8 Years","3rd"
"Baking","Party Biscuit","3 to 4 Years","1st"
"Baking","Party Biscuit","3 to 4 Years","2nd"
"Baking","Party Biscuit","3 to 4 Years","3rd"
"Baking","Pavlova","11 to 12 Years","1st"
"Baking","Pavlova","11 to 12 Years","2nd"
"Baking","Pavlova","11 to 12 Years","3rd"
"Baking","Pavlova","13 Years and Over","1st"
"Baking","Pavlova","13 Years and Over","2nd"
"Baking","Pavlova","13 Years and Over","3rd"
"Construction","","","Overall"
"Construction","Electronics","11 to 12 Years","1st"
"Construction","Electronics","11 to 12 Years","2nd"
"Construction","Electronics","11 to 12 Years","3rd"
"Construction","Electronics","13 Years and Over","1st"
"Construction","Electronics","13 Years and Over","2nd"
"Construction","Electronics","13 Years and Over","3rd"
"Construction","Electronics","9 to 10 Years","1st"
"Construction","Electronics","9 to 10 Years","2nd"
"Construction","Electronics","9 to 10 Years","3rd"
"Construction","Lego/Knex/Duplo","11 to 12 Years","1st"
"Construction","Lego/Knex/Duplo","11 to 12 Years","2nd"
"Construction","Lego/Knex/Duplo","11 to 12 Years","3rd"
"Construction","Lego/Knex/Duplo","13 Years and Over","1st"
"Construction","Lego/Knex/Duplo","13 Years and Over","2nd"
"Construction","Lego/Knex/Duplo","13 Years and Over","3rd"
"Construction","Lego/Knex/Duplo","3 to 4 Years","1st"
"Construction","Lego/Knex/Duplo","3 to 4 Years","2nd"
"Construction","Lego/Knex/Duplo","3 to 4 Years","3rd"
"Construction","Lego/Knex/Duplo","5 to 6 Years","1st"
"Construction","Lego/Knex/Duplo","5 to 6 Years","2nd"
"Construction","Lego/Knex/Duplo","5 to 6 Years","3rd"
"Construction","Lego/Knex/Duplo","7 to 8 Years","1st"
"Construction","Lego/Knex/Duplo","7 to 8 Years","2nd"
"Construction","Lego/Knex/Duplo","7 to 8 Years","3rd"
"Construction","Lego/Knex/Duplo","9 to 10 Years","1st"
"Construction","Lego/Knex/Duplo","9 to 10 Years","2nd"
"Construction","Lego/Knex/Duplo","9 to 10 Years","3rd"
"Construction","Metalwork","11 to 12 Years","1st"
"Construction","Metalwork","11 to 12 Years","2nd"
"Construction","Metalwork","11 to 12 Years","3rd"
"Construction","Metalwork","13 Years and Over","1st"
"Construction","Metalwork","13 Years and Over","2nd"
"Construction","Metalwork","13 Years and Over","3rd"
"Construction","Metalwork","9 to 10 Years","1st"
"Construction","Metalwork","9 to 10 Years","2nd"
"Construction","Metalwork","9 to 10 Years","3rd"
"Construction","Woodwork","11 to 12 Years","1st"
"Construction","Woodwork","11 to 12 Years","2nd"
"Construction","Woodwork","11 to 12 Years","3rd"
"Construction","Woodwork","13 Years and Over","1st"
"Construction","Woodwork","13 Years and Over","2nd"
"Construction","Woodwork","13 Years and Over","3rd"
"Construction","Woodwork","5 to 6 Years","1st"
"Construction","Woodwork","5 to 6 Years","2nd"
"Construction","Woodwork","5 to 6 Years","3rd"
"Construction","Woodwork","7 to 8 Years","1st"
"Construction","Woodwork","7 to 8 Years","2nd"
"Construction","Woodwork","7 to 8 Years","3rd"
"Construction","Woodwork","9 to 10 Years","1st"
"Construction","Woodwork","9 to 10 Years","2nd"
"Construction","Woodwork","9 to 10 Years","3rd"
"Floral","","","Overall"
"Floral","Scenic Tray","11 to 12 Years","1st"
"Floral","Scenic Tray","11 to 12 Years","2nd"
"Floral","Scenic Tray","11 to 12 Years","3rd"
"Floral","Scenic Tray","13 Years and Over","1st"
"Floral","Scenic Tray","13 Years and Over","2nd"
"Floral","Scenic Tray","13 Years and Over","3rd"
"Floral","Scenic Tray","3 to 4 Years","1st"
"Floral","Scenic Tray","3 to 4 Years","2nd"
"Floral","Scenic Tray","3 to 4 Years","3rd"
"Floral","Scenic Tray","5 to 6 Years","1st"
"Floral","Scenic Tray","5 to 6 Years","2nd"
"Floral","Scenic Tray","5 to 6 Years","3rd"
"Floral","Scenic Tray","7 to 8 Years","1st"
"Floral","Scenic Tray","7 to 8 Years","2nd"
"Floral","Scenic Tray","7 to 8 Years","3rd"
"Floral","Scenic Tray","9 to 10 Years","1st"
"Floral","Scenic Tray","9 to 10 Years","2nd"
"Floral","Scenic Tray","9 to 10 Years","3rd"
"Floral","Teacup Arrangement","11 to 12 Years","1st"
"Floral","Teacup Arrangement","11 to 12 Years","2nd"
"Floral","Teacup Arrangement","11 to 12 Years","3rd"
"Floral","Teacup Arrangement","13 Years and Over","1st"
"Floral","Teacup Arrangement","13 Years and Over","2nd"
"Floral","Teacup Arrangement","13 Years and Over","3rd"
"Floral","Teacup Arrangement","9 to 10 Years","1st"
"Floral","Teacup Arrangement","9 to 10 Years","2nd"
"Floral","Teacup Arrangement","9 to 10 Years","3rd"
"Handcraft","","","Overall"
"Handcraft","Handcraft Textiles","11 to 12 Years","1st"
"Handcraft","Handcraft Textiles","11 to 12 Years","2nd"
"Handcraft","Handcraft Textiles","11 to 12 Years","3rd"
"Handcraft","Handcraft Textiles","13 Years and Over","1st"
"Handcraft","Handcraft Textiles","13 Years and Over","2nd"
"Handcraft","Handcraft Textiles","13 Years and Over","3rd"
"Handcraft","Handcraft Textiles","3 to 4 Years","1st"
"Handcraft","Handcraft Textiles","3 to 4 Years","2nd"
"Handcraft","Handcraft Textiles","3 to 4 Years","3rd"
"Handcraft","Handcraft Textiles","5 to 6 Years","1st"
"Handcraft","Handcraft Textiles","5 to 6 Years","2nd"
"Handcraft","Handcraft Textiles","5 to 6 Years","3rd"
"Handcraft","Handcraft Textiles","7 to 8 Years","1st"
"Handcraft","Handcraft Textiles","7 to 8 Years","2nd"
"Handcraft","Handcraft Textiles","7 to 8 Years","3rd"
"Handcraft","Handcraft Textiles","9 to 10 Years","1st"
"Handcraft","Handcraft Textiles","9 to 10 Years","2nd"
"Handcraft","Handcraft Textiles","9 to 10 Years","3rd"
"Literature","","","Overall"
"Literature","Book Character Review","11 to 12 Years","1st"
"Literature","Book Character Review","11 to 12 Years","2nd"
"Literature","Book Character Review","11 to 12 Years","3rd"
"Literature","Book Character Review","13 Years and Over","1st"
"Literature","Book Character Review","13 Years and Over","2nd"
"Literature","Book Character Review","13 Years and Over","3rd"
"Literature","Book Character Review","9 to 10 Years","1st"
"Literature","Book Character Review","9 to 10 Years","2nd"
"Literature","Book Character Review","9 to 10 Years","3rd"
"Literature","Creative Writing","5 to 6 Years","1st"
"Literature","Creative Writing","5 to 6 Years","2nd"
"Literature","Creative Writing","5 to 6 Years","3rd"
"Literature","Creative Writing","7 to 8 Years","1st"
"Literature","Creative Writing","7 to 8 Years","2nd"
"Literature","Creative Writing","7 to 8 Years","3rd"
"Literature","Poem","11 to 12 Years","1st"
"Literature","Poem","11 to 12 Years","2nd"
"Literature","Poem","11 to 12 Years","3rd"
"Literature","Poem","13 Years and Over","1st"
"Literature","Poem","13 Years and Over","2nd"
"Literature","Poem","13 Years and Over","3rd"
"Literature","Poem","5 to 6 Years","1st"
"Literature","Poem","5 to 6 Years","2nd"
"Literature","Poem","5 to 6 Years","3rd"
"Literature","Poem","7 to 8 Years","1st"
"Literature","Poem","7 to 8 Years","2nd"
"Literature","Poem","7 to 8 Years","3rd"
"Literature","Poem","9 to 10 Years","1st"
"Literature","Poem","9 to 10 Years","2nd"
"Literature","Poem","9 to 10 Years","3rd"
"Novelty Cake","","","Overall"
"Novelty Cake","Butter Icing","11 to 12 Years","1st"
"Novelty Cake","Butter Icing","11 to 12 Years","2nd"
"Novelty Cake","Butter Icing","11 to 12 Years","3rd"
"Novelty Cake","Butter Icing","13 Years and Over","1st"
"Novelty Cake","Butter Icing","13 Years and Over","2nd"
"Novelty Cake","Butter Icing","13 Years and Over","3rd"
"Novelty Cake","Butter Icing","9 to 10 Years","1st"
"Novelty Cake","Butter Icing","9 to 10 Years","2nd"
"Novelty Cake","Butter Icing","9 to 10 Years","3rd"
"Novelty Cake","Rolled Icing","11 to 12 Years","1st"
"Novelty Cake","Rolled Icing","11 to 12 Years","2nd"
"Novelty Cake","Rolled Icing","11 to 12 Years","3rd"
"Novelty Cake","Rolled Icing","13 Years and Over","1st"
"Novelty Cake","Rolled Icing","13 Years and Over","2nd"
"Novelty Cake","Rolled Icing","13 Years and Over","3rd"
"Novelty Cake","Rolled Icing","9 to 10 Years","1st"
"Novelty Cake","Rolled Icing","9 to 10 Years","2nd"
"Novelty Cake","Rolled Icing","9 to 10 Years","3rd"
"Pets","","","Overall"
"Pets","Pets Junior","","1st"
"Pets","Pets Junior","","2nd"
"Pets","Pets Junior","","3rd"
"Pets","Pets Senior","","1st"
"Pets","Pets Senior","","2nd"
"Pets","Pets Senior","","3rd"
"Photography","","","Overall"
"Photography","","11 to 12 Years","1st"
"Photography","","11 to 12 Years","2nd"
"Photography","","11 to 12 Years","3rd"
"Photography","","13 Years and Over","1st"
"Photography","","13 Years and Over","2nd"
"Photography","","13 Years and Over","3rd"
"Photography","","9 to 10 Years","1st"
"Photography","","9 to 10 Years","2nd"
"Photography","","9 to 10 Years","3rd"
